"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98725,0.15917,0,0.00051362,0.76,0
0.5,-0.99431,0.10655,0,0,0.75521,0.01
0.5,-0.98725,0.15917,0,0.00051362,0.76,0.01
0.5,-0.99431,0.10655,0,0,0.75521,0
0.5,0.9942,0.10752,0,0.1,0.75482,0
0.5,0.98991,0.14172,0,0.09944,0.76,0.01
0.5,0.9942,0.10752,0,0.1,0.75482,0.01
0.5,0.98443,0.17579,0,0.09944,0.76,0
0.5,-0.95563,0.29455,0,0.0026758,0.77,0.01
0.5,-0.92654,0.37619,0,0.0026758,0.77,0
0.5,0.94267,0.33373,0,0.097296,0.77,0
0.5,0.94267,0.33373,0,0.097296,0.77,0.01
0.5,-0.86623,0.49965,0,0.005,0.77456,0.01
0.5,-0.86623,0.49965,0,0.005,0.77456,0
0.5,-0.77922,0.62675,0,0.0085253,0.78,0
0.5,-0.77922,0.62675,0,0.0085253,0.78,0.01
0.5,0.86736,0.49769,0,0.095,0.77453,0
0.5,0.78027,0.62545,0,0.091473,0.78,0.01
0.5,0.86736,0.49769,0,0.095,0.77453,0.01
0.5,0.78027,0.62545,0,0.091473,0.78,0
0.5,-0.51567,0.85679,0,0.01,0.78149,0.01
0.5,-0.51567,0.85679,0,0.01,0.78149,0
0.5,-0.22258,0.97491,0,0.015,0.783,0.01
0.5,-0.25581,0.96673,0,0.015,0.783,0
0.5,-0.1563,0.98771,0,0.02,0.78396,0.01
0.5,-0.17274,0.98497,0,0.02,0.78396,0
0.5,-0.1139,0.99349,0,0.025,0.78467,0.01
0.5,-0.12687,0.99192,0,0.025,0.78467,0
0.5,-0.080642,0.99674,0,0.03,0.78517,0.01
0.5,-0.090785,0.99587,0,0.03,0.78517,0
0.5,-0.053796,0.99855,0,0.035,0.78553,0.01
0.5,-0.062146,0.99807,0,0.035,0.78553,0
0.5,-0.030801,0.99953,0,0.04,0.78576,0.01
0.5,-0.038123,0.99927,0,0.04,0.78576,0
0.5,-0.012316,0.99992,0,0.045,0.78587,0.01
0.5,-0.017897,0.99984,0,0.045,0.78587,0
0.5,0.0022689,1,0,0.05,0.78591,0.01
0.5,-0.0022332,1,0,0.05,0.78591,0
0.5,0.017941,0.99984,0,0.055,0.78587,0.01
0.5,0.012356,0.99992,0,0.055,0.78587,0
0.5,0.038124,0.99927,0,0.06,0.78575,0.01
0.5,0.030825,0.99952,0,0.06,0.78575,0
0.5,0.062091,0.99807,0,0.065,0.78553,0.01
0.5,0.053757,0.99855,0,0.065,0.78553,0
0.5,0.09073,0.99588,0,0.07,0.78517,0.01
0.5,0.080579,0.99675,0,0.07,0.78517,0
0.5,0.12682,0.99193,0,0.075,0.78467,0.01
0.5,0.11385,0.9935,0,0.075,0.78467,0
0.5,0.17242,0.98502,0,0.08,0.78396,0.01
0.5,0.15611,0.98774,0,0.08,0.78396,0
0.5,0.25582,0.96672,0,0.085,0.783,0.01
0.5,0.22236,0.97496,0,0.085,0.783,0
0.5,0.51628,0.85642,0,0.09,0.78149,0.01
0.5,0.51628,0.85642,0,0.09,0.78149,0
