"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98876,0.1495,0,0.0004267,0.62,0
0.5,-0.99513,0.098531,0,0,0.61569,0.01
0.5,-0.98876,0.1495,0,0.0004267,0.62,0.01
0.5,-0.99513,0.098531,0,0,0.61569,0
0.5,0.99501,0.099771,0,0.1,0.61536,0
0.5,0.99112,0.13297,0,0.099535,0.62,0.01
0.5,0.99501,0.099771,0,0.1,0.61536,0.01
0.5,0.98611,0.16607,0,0.099535,0.62,0
0.5,-0.95951,0.28167,0,0.0024688,0.63,0.01
0.5,-0.93224,0.36184,0,0.0024688,0.63,0
0.5,0.94723,0.32055,0,0.097505,0.63,0
0.5,0.94723,0.32055,0,0.097505,0.63,0.01
0.5,-0.87971,0.47551,0,0.005,0.63518,0.01
0.5,-0.87971,0.47551,0,0.005,0.63518,0
0.5,-0.79398,0.60794,0,0.0078665,0.64,0
0.5,-0.79398,0.60794,0,0.0078665,0.64,0.01
0.5,0.88061,0.47384,0,0.095,0.63515,0
0.5,0.79487,0.60678,0,0.092129,0.64,0.01
0.5,0.88061,0.47384,0,0.095,0.63515,0.01
0.5,0.79487,0.60678,0,0.092129,0.64,0
0.5,-0.51448,0.8575,0,0.01,0.6422,0.01
0.5,-0.51448,0.8575,0,0.01,0.6422,0
0.5,-0.21889,0.97575,0,0.015,0.64364,0.01
0.5,-0.24784,0.9688,0,0.015,0.64364,0
0.5,-0.15945,0.98721,0,0.02,0.6446,0.01
0.5,-0.17463,0.98463,0,0.02,0.6446,0
0.5,-0.11499,0.99337,0,0.025,0.64533,0.01
0.5,-0.12963,0.99156,0,0.025,0.64533,0
0.5,-0.080012,0.99679,0,0.03,0.64584,0.01
0.5,-0.090176,0.99593,0,0.03,0.64584,0
0.5,-0.053262,0.99858,0,0.035,0.64619,0.01
0.5,-0.061554,0.9981,0,0.035,0.64619,0
0.5,-0.030651,0.99953,0,0.04,0.64641,0.01
0.5,-0.03781,0.99928,0,0.04,0.64641,0
0.5,-0.012336,0.99992,0,0.045,0.64653,0.01
0.5,-0.017913,0.99984,0,0.045,0.64653,0
0.5,0.0022769,1,0,0.05,0.64656,0.01
0.5,-0.0022411,1,0,0.05,0.64656,0
0.5,0.017965,0.99984,0,0.055,0.64653,0.01
0.5,0.01238,0.99992,0,0.055,0.64653,0
0.5,0.03783,0.99928,0,0.06,0.64641,0.01
0.5,0.03069,0.99953,0,0.06,0.64641,0
0.5,0.061507,0.99811,0,0.065,0.64619,0.01
0.5,0.053239,0.99858,0,0.065,0.64619,0
0.5,0.090121,0.99593,0,0.07,0.64584,0.01
0.5,0.079949,0.9968,0,0.07,0.64584,0
0.5,0.12959,0.99157,0,0.075,0.64533,0.01
0.5,0.11495,0.99337,0,0.075,0.64533,0
0.5,0.1744,0.98467,0,0.08,0.6446,0.01
0.5,0.15932,0.98723,0,0.08,0.6446,0
0.5,0.24794,0.96878,0,0.085,0.64364,0.01
0.5,0.21878,0.97577,0,0.085,0.64364,0
0.5,0.5151,0.85713,0,0.09,0.6422,0.01
0.5,0.5151,0.85713,0,0.09,0.6422,0
