"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98532,0.1707,0,0.00067416,0.73,0
0.5,-0.99341,0.11461,0,0,0.72416,0.01
0.5,-0.98532,0.1707,0,0.00067416,0.73,0.01
0.5,-0.99341,0.11461,0,0,0.72416,0
0.5,0.99332,0.11543,0,0.1,0.72382,0
0.5,0.98838,0.15203,0,0.099282,0.73,0.01
0.5,0.99332,0.11543,0,0.1,0.72382,0.01
0.5,0.98208,0.18847,0,0.099282,0.73,0
0.5,-0.95032,0.31127,0,0.0029968,0.74,0.01
0.5,-0.91889,0.39451,0,0.0029968,0.74,0
0.5,0.93623,0.35139,0,0.096977,0.74,0
0.5,0.93623,0.35139,0,0.096977,0.74,0.01
0.5,-0.84692,0.53172,0,0.005,0.74372,0.01
0.5,-0.84692,0.53172,0,0.005,0.74372,0
0.5,-0.75833,0.65188,0,0.0095532,0.75,0
0.5,-0.75833,0.65188,0,0.0095532,0.75,0.01
0.5,0.84807,0.52988,0,0.095,0.74369,0
0.5,0.75939,0.65064,0,0.090446,0.75,0.01
0.5,0.84807,0.52988,0,0.095,0.74369,0.01
0.5,0.75939,0.65064,0,0.090446,0.75,0
0.5,-0.52001,0.85416,0,0.01,0.75044,0.01
0.5,-0.52001,0.85416,0,0.01,0.75044,0
0.5,-0.23433,0.97216,0,0.015,0.75207,0.01
0.5,-0.27261,0.96212,0,0.015,0.75207,0
0.5,-0.1567,0.98765,0,0.02,0.75307,0.01
0.5,-0.17627,0.98434,0,0.02,0.75307,0
0.5,-0.10961,0.99397,0,0.025,0.75376,0.01
0.5,-0.12336,0.99236,0,0.025,0.75376,0
0.5,-0.079089,0.99687,0,0.03,0.75424,0.01
0.5,-0.087469,0.99617,0,0.03,0.75424,0
0.5,-0.054414,0.99852,0,0.035,0.7546,0.01
0.5,-0.062562,0.99804,0,0.035,0.7546,0
0.5,-0.031297,0.99951,0,0.04,0.75483,0.01
0.5,-0.038781,0.99925,0,0.04,0.75483,0
0.5,-0.012491,0.99992,0,0.045,0.75495,0.01
0.5,-0.018152,0.99984,0,0.045,0.75495,0
0.5,0.0023007,1,0,0.05,0.75498,0.01
0.5,-0.002265,1,0,0.05,0.75498,0
0.5,0.018171,0.99983,0,0.055,0.75495,0.01
0.5,0.012519,0.99992,0,0.055,0.75495,0
0.5,0.038785,0.99925,0,0.06,0.75483,0.01
0.5,0.031305,0.99951,0,0.06,0.75483,0
0.5,0.06253,0.99804,0,0.065,0.7546,0.01
0.5,0.054398,0.99852,0,0.065,0.7546,0
0.5,0.087422,0.99617,0,0.07,0.75424,0.01
0.5,0.079042,0.99687,0,0.07,0.75424,0
0.5,0.12328,0.99237,0,0.075,0.75376,0.01
0.5,0.10955,0.99398,0,0.075,0.75376,0
0.5,0.17596,0.9844,0,0.08,0.75307,0.01
0.5,0.1565,0.98768,0,0.08,0.75307,0
0.5,0.27273,0.96209,0,0.085,0.75208,0.01
0.5,0.2342,0.97219,0,0.085,0.75208,0
0.5,0.52068,0.85375,0,0.09,0.75044,0.01
0.5,0.52068,0.85375,0,0.09,0.75044,0
