"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98603,0.1666,0,0.00061781,0.74,0
0.5,-0.99374,0.11169,0,0,0.7345,0.01
0.5,-0.98603,0.1666,0,0.00061781,0.74,0.01
0.5,-0.99374,0.11169,0,0,0.7345,0
0.5,0.99363,0.11266,0,0.1,0.73415,0
0.5,0.98892,0.14842,0,0.099337,0.74,0.01
0.5,0.99363,0.11266,0,0.1,0.73415,0.01
0.5,0.98292,0.18403,0,0.099337,0.74,0
0.5,-0.95215,0.30563,0,0.0028837,0.75,0.01
0.5,-0.92143,0.38854,0,0.0028837,0.75,0
0.5,0.9384,0.34554,0,0.097089,0.75,0
0.5,0.9384,0.34554,0,0.097089,0.75,0.01
0.5,-0.85338,0.52129,0,0.005,0.754,0.01
0.5,-0.85338,0.52129,0,0.005,0.754,0
0.5,-0.76527,0.64371,0,0.009194,0.76,0
0.5,-0.76527,0.64371,0,0.009194,0.76,0.01
0.5,0.85455,0.51937,0,0.095,0.75397,0
0.5,0.76635,0.64242,0,0.090805,0.76,0.01
0.5,0.85455,0.51937,0,0.095,0.75397,0.01
0.5,0.76635,0.64242,0,0.090805,0.76,0
0.5,-0.51806,0.85534,0,0.01,0.7608,0.01
0.5,-0.51806,0.85534,0,0.01,0.7608,0
0.5,-0.22977,0.97325,0,0.015,0.76239,0.01
0.5,-0.26626,0.9639,0,0.015,0.76239,0
0.5,-0.15568,0.98781,0,0.02,0.76337,0.01
0.5,-0.17438,0.98468,0,0.02,0.76337,0
0.5,-0.11093,0.99383,0,0.025,0.76406,0.01
0.5,-0.12394,0.99229,0,0.025,0.76406,0
0.5,-0.08028,0.99677,0,0.03,0.76455,0.01
0.5,-0.089093,0.99602,0,0.03,0.76455,0
0.5,-0.054176,0.99853,0,0.035,0.76491,0.01
0.5,-0.062821,0.99802,0,0.035,0.76491,0
0.5,-0.030932,0.99952,0,0.04,0.76514,0.01
0.5,-0.038231,0.99927,0,0.04,0.76514,0
0.5,-0.012471,0.99992,0,0.045,0.76526,0.01
0.5,-0.018052,0.99984,0,0.045,0.76526,0
0.5,0.0023206,1,0,0.05,0.76529,0.01
0.5,-0.0022848,1,0,0.05,0.76529,0
0.5,0.018072,0.99984,0,0.055,0.76526,0.01
0.5,0.012499,0.99992,0,0.055,0.76526,0
0.5,0.038235,0.99927,0,0.06,0.76514,0.01
0.5,0.03094,0.99952,0,0.06,0.76514,0
0.5,0.06279,0.99803,0,0.065,0.76491,0.01
0.5,0.05416,0.99853,0,0.065,0.76491,0
0.5,0.089054,0.99603,0,0.07,0.76455,0.01
0.5,0.080237,0.99678,0,0.07,0.76455,0
0.5,0.12388,0.9923,0,0.075,0.76406,0.01
0.5,0.11088,0.99383,0,0.075,0.76406,0
0.5,0.17406,0.98474,0,0.08,0.76337,0.01
0.5,0.15548,0.98784,0,0.08,0.76337,0
0.5,0.26638,0.96387,0,0.085,0.76239,0.01
0.5,0.22962,0.97328,0,0.085,0.76239,0
0.5,0.51875,0.85492,0,0.09,0.7608,0.01
0.5,0.51875,0.85492,0,0.09,0.7608,0
