"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.76984,0.63824,0,0.003408,0.52,0
0.5,-0.76807,0.64037,0,0,0.51591,0.01
0.5,-0.76984,0.63824,0,0.003408,0.52,0.01
0.5,-0.76807,0.64037,0,0,0.51591,0
0.5,0.76808,0.64035,0,0.1,0.5159,0
0.5,0.77001,0.63804,0,0.09658,0.52,0.01
0.5,0.76808,0.64035,0,0.1,0.5159,0.01
0.5,0.77001,0.63804,0,0.09658,0.52,0
0.5,-0.75873,0.6514,0,0.005,0.52193,0.01
0.5,-0.75873,0.6514,0,0.005,0.52193,0
0.5,-0.52212,0.85287,0,0.01,0.52752,0.01
0.5,-0.64186,0.76682,0,0.01,0.52752,0
0.5,-0.32551,0.94554,0,0.015,0.52967,0.01
0.5,-0.35997,0.93296,0,0.015,0.52967,0
0.5,-0.28506,0.95851,0,0.016094,0.53,0
0.5,-0.28506,0.95851,0,0.016094,0.53,0.01
0.5,0.32554,0.94553,0,0.085,0.52966,0
0.5,0.28503,0.95852,0,0.083892,0.53,0.01
0.5,0.36009,0.93292,0,0.085,0.52966,0.01
0.5,0.28503,0.95852,0,0.083892,0.53,0
0.5,0.64223,0.76651,0,0.09,0.52752,0.01
0.5,0.52241,0.85269,0,0.09,0.52752,0
0.5,0.7591,0.65098,0,0.095,0.52192,0.01
0.5,0.7591,0.65098,0,0.095,0.52192,0
0.5,-0.23803,0.97126,0,0.02,0.53114,0.01
0.5,-0.23803,0.97126,0,0.02,0.53114,0
0.5,-0.1571,0.98758,0,0.025,0.53214,0.01
0.5,-0.17667,0.98427,0,0.025,0.53214,0
0.5,-0.10983,0.99395,0,0.03,0.53283,0.01
0.5,-0.12366,0.99232,0,0.03,0.53283,0
0.5,-0.073519,0.99729,0,0.035,0.53331,0.01
0.5,-0.084757,0.9964,0,0.035,0.53331,0
0.5,-0.042669,0.99909,0,0.04,0.53363,0.01
0.5,-0.052474,0.99862,0,0.04,0.53363,0
0.5,-0.017328,0.99985,0,0.045,0.53379,0.01
0.5,-0.025095,0.99969,0,0.045,0.53379,0
0.5,0.0032663,0.99999,0,0.05,0.53384,0.01
0.5,-0.0031471,1,0,0.05,0.53384,0
0.5,0.02523,0.99968,0,0.055,0.53379,0.01
0.5,0.017455,0.99985,0,0.055,0.53379,0
0.5,0.052608,0.99862,0,0.06,0.53362,0.01
0.5,0.042807,0.99908,0,0.06,0.53362,0
0.5,0.084887,0.99639,0,0.065,0.53331,0.01
0.5,0.073649,0.99728,0,0.065,0.53331,0
0.5,0.1238,0.99231,0,0.07,0.53283,0.01
0.5,0.10996,0.99394,0,0.07,0.53283,0
0.5,0.1768,0.98425,0,0.075,0.53213,0.01
0.5,0.15723,0.98756,0,0.075,0.53213,0
0.5,0.23809,0.97124,0,0.08,0.53113,0.01
0.5,0.23809,0.97124,0,0.08,0.53113,0
