"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.99225,0.12428,0,1.9223e-05,0.71,0
0.5,-0.99676,0.080426,0,0,0.70976,0.01
0.5,-0.99225,0.12428,0,1.9223e-05,0.71,0.01
0.5,-0.99676,0.080426,0,0,0.70976,0
0.5,0.99665,0.081765,0,0.1,0.70923,0
0.5,0.99391,0.11024,0,0.099937,0.71,0.01
0.5,0.99665,0.081765,0,0.1,0.70923,0.01
0.5,0.99034,0.13865,0,0.099937,0.71,0
0.5,-0.97195,0.23517,0,0.0017224,0.72,0.01
0.5,-0.95342,0.30164,0,0.0017224,0.72,0
0.5,0.96366,0.26713,0,0.098244,0.72,0
0.5,0.96366,0.26713,0,0.098244,0.72,0.01
0.5,-0.92771,0.3733,0,0.005,0.72832,0.01
0.5,-0.92771,0.3733,0,0.005,0.72832,0
0.5,-0.85041,0.52613,0,0.0056889,0.73,0
0.5,-0.85041,0.52613,0,0.0056889,0.73,0.01
0.5,0.9284,0.37158,0,0.095,0.72829,0
0.5,0.85124,0.52478,0,0.094299,0.73,0.01
0.5,0.9284,0.37158,0,0.095,0.72829,0.01
0.5,0.85124,0.52478,0,0.094299,0.73,0
0.5,-0.53404,0.84546,0,0.01,0.73493,0.01
0.5,-0.53404,0.84546,0,0.01,0.73493,0
0.5,-0.22441,0.97449,0,0.015,0.73634,0.01
0.5,-0.24757,0.96887,0,0.015,0.73634,0
0.5,-0.16696,0.98596,0,0.02,0.73737,0.01
0.5,-0.18407,0.98291,0,0.02,0.73737,0
0.5,-0.12065,0.9927,0,0.025,0.73812,0.01
0.5,-0.13524,0.99081,0,0.025,0.73812,0
0.5,-0.086524,0.99625,0,0.03,0.73866,0.01
0.5,-0.096283,0.99535,0,0.03,0.73866,0
0.5,-0.059371,0.99824,0,0.035,0.73904,0.01
0.5,-0.068067,0.99768,0,0.035,0.73904,0
0.5,-0.034743,0.9994,0,0.04,0.7393,0.01
0.5,-0.042708,0.99909,0,0.04,0.7393,0
0.5,-0.014163,0.9999,0,0.045,0.73943,0.01
0.5,-0.020471,0.99979,0,0.045,0.73943,0
0.5,0.0026345,1,0,0.05,0.73947,0.01
0.5,-0.0026107,1,0,0.05,0.73947,0
0.5,0.020486,0.99979,0,0.055,0.73943,0.01
0.5,0.014183,0.9999,0,0.055,0.73943,0
0.5,0.042697,0.99909,0,0.06,0.7393,0.01
0.5,0.034743,0.9994,0,0.06,0.7393,0
0.5,0.068012,0.99768,0,0.065,0.73904,0.01
0.5,0.059331,0.99824,0,0.065,0.73904,0
0.5,0.09622,0.99536,0,0.07,0.73866,0.01
0.5,0.086457,0.99626,0,0.07,0.73866,0
0.5,0.13514,0.99083,0,0.075,0.73812,0.01
0.5,0.12057,0.99271,0,0.075,0.73812,0
0.5,0.18377,0.98297,0,0.08,0.73737,0.01
0.5,0.16675,0.986,0,0.08,0.73737,0
0.5,0.24772,0.96883,0,0.085,0.73634,0.01
0.5,0.22429,0.97452,0,0.085,0.73634,0
0.5,0.53483,0.84496,0,0.09,0.73494,0.01
0.5,0.53483,0.84496,0,0.09,0.73494,0
