"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98001,0.19895,0,0.0010177,0.67,0
0.5,-0.99116,0.13265,0,0,0.6624,0.01
0.5,-0.98001,0.19895,0,0.0010177,0.67,0.01
0.5,-0.99116,0.13265,0,0,0.6624,0
0.5,0.99112,0.13299,0,0.1,0.66213,0
0.5,0.98429,0.17658,0,0.098944,0.67,0.01
0.5,0.99112,0.13299,0,0.1,0.66213,0.01
0.5,0.97552,0.21991,0,0.098944,0.67,0
0.5,-0.9372,0.34879,0,0.0037588,0.68,0.01
0.5,-0.90229,0.43112,0,0.0037588,0.68,0
0.5,0.92141,0.3886,0,0.096221,0.68,0
0.5,0.92141,0.3886,0,0.096221,0.68,0.01
0.5,-0.82168,0.56995,0,0.005,0.6821,0.01
0.5,-0.82168,0.56995,0,0.005,0.6821,0
0.5,-0.49359,0.86969,0,0.01,0.6883,0.01
0.5,-0.65006,0.75988,0,0.01,0.6883,0
0.5,-0.33415,0.94252,0,0.014939,0.69,0
0.5,-0.33415,0.94252,0,0.014939,0.69,0.01
0.5,0.49437,0.86925,0,0.09,0.6883,0
0.5,0.3343,0.94247,0,0.085069,0.69,0.01
0.5,0.65117,0.75893,0,0.09,0.6883,0.01
0.5,0.3343,0.94247,0,0.085069,0.69,0
0.5,0.82284,0.56827,0,0.095,0.68207,0.01
0.5,0.82284,0.56827,0,0.095,0.68207,0
0.5,-0.28466,0.95863,0,0.015,0.69002,0.01
0.5,-0.28466,0.95863,0,0.015,0.69002,0
0.5,-0.17581,0.98442,0,0.02,0.69118,0.01
0.5,-0.20069,0.97965,0,0.02,0.69118,0
0.5,-0.11701,0.99313,0,0.025,0.69194,0.01
0.5,-0.13394,0.99099,0,0.025,0.69194,0
0.5,-0.079414,0.99684,0,0.03,0.69244,0.01
0.5,-0.089736,0.99597,0,0.03,0.69244,0
0.5,-0.052432,0.99862,0,0.035,0.69279,0.01
0.5,-0.06076,0.99815,0,0.035,0.69279,0
0.5,-0.029877,0.99955,0,0.04,0.69301,0.01
0.5,-0.03699,0.99932,0,0.04,0.69301,0
0.5,-0.011967,0.99993,0,0.045,0.69313,0.01
0.5,-0.017365,0.99985,0,0.045,0.69313,0
0.5,0.0021974,1,0,0.05,0.69316,0.01
0.5,-0.0021855,1,0,0.05,0.69316,0
0.5,0.017393,0.99985,0,0.055,0.69313,0.01
0.5,0.011987,0.99993,0,0.055,0.69313,0
0.5,0.036994,0.99932,0,0.06,0.69301,0.01
0.5,0.029897,0.99955,0,0.06,0.69301,0
0.5,0.060724,0.99815,0,0.065,0.69279,0.01
0.5,0.052408,0.99863,0,0.065,0.69279,0
0.5,0.089697,0.99597,0,0.07,0.69244,0.01
0.5,0.07937,0.99685,0,0.07,0.69244,0
0.5,0.13388,0.991,0,0.075,0.69194,0.01
0.5,0.11696,0.99314,0,0.075,0.69194,0
0.5,0.20038,0.97972,0,0.08,0.69118,0.01
0.5,0.17562,0.98446,0,0.08,0.69118,0
0.5,0.28443,0.9587,0,0.085,0.69003,0.01
0.5,0.28443,0.9587,0,0.085,0.69003,0
