"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.86036,0.50968,0,0.0035987,0.53,0
0.5,-0.88007,0.47485,0,0,0.52333,0.01
0.5,-0.86036,0.50968,0,0.0035987,0.53,0.01
0.5,-0.88007,0.47485,0,0,0.52333,0
0.5,0.88019,0.47461,0,0.1,0.5233,0
0.5,0.86062,0.50925,0,0.096389,0.53,0.01
0.5,0.88019,0.47461,0,0.1,0.5233,0.01
0.5,0.86062,0.50925,0,0.096389,0.53,0
0.5,-0.80909,0.58769,0,0.005,0.53216,0.01
0.5,-0.80909,0.58769,0,0.005,0.53216,0
0.5,-0.51199,0.85899,0,0.01,0.53833,0.01
0.5,-0.65646,0.75436,0,0.01,0.53833,0
0.5,-0.36329,0.93167,0,0.014388,0.54,0
0.5,-0.36329,0.93167,0,0.014388,0.54,0.01
0.5,0.5124,0.85875,0,0.09,0.53832,0
0.5,0.36362,0.93155,0,0.085601,0.54,0.01
0.5,0.65694,0.75394,0,0.09,0.53832,0.01
0.5,0.36362,0.93155,0,0.085601,0.54,0
0.5,0.80954,0.58706,0,0.095,0.53215,0.01
0.5,0.80954,0.58706,0,0.095,0.53215,0
0.5,-0.30758,0.95152,0,0.015,0.54024,0.01
0.5,-0.30758,0.95152,0,0.015,0.54024,0
0.5,-0.196,0.9806,0,0.02,0.5415,0.01
0.5,-0.21987,0.97553,0,0.02,0.5415,0
0.5,-0.13611,0.99069,0,0.025,0.54237,0.01
0.5,-0.1541,0.98806,0,0.025,0.54237,0
0.5,-0.093597,0.99561,0,0.03,0.54297,0.01
0.5,-0.10585,0.99438,0,0.03,0.54297,0
0.5,-0.061545,0.9981,0,0.035,0.54338,0.01
0.5,-0.071441,0.99744,0,0.035,0.54338,0
0.5,-0.034719,0.9994,0,0.04,0.54363,0.01
0.5,-0.043183,0.99907,0,0.04,0.54363,0
0.5,-0.013647,0.99991,0,0.045,0.54377,0.01
0.5,-0.01995,0.9998,0,0.045,0.54377,0
0.5,0.0025272,1,0,0.05,0.5438,0.01
0.5,-0.002408,1,0,0.05,0.5438,0
0.5,0.020077,0.9998,0,0.055,0.54376,0.01
0.5,0.01377,0.99991,0,0.055,0.54376,0
0.5,0.043322,0.99906,0,0.06,0.54363,0.01
0.5,0.034854,0.99939,0,0.06,0.54363,0
0.5,0.071575,0.99744,0,0.065,0.54337,0.01
0.5,0.061683,0.9981,0,0.065,0.54337,0
0.5,0.10601,0.99437,0,0.07,0.54296,0.01
0.5,0.093738,0.9956,0,0.07,0.54296,0
0.5,0.15425,0.98803,0,0.075,0.54237,0.01
0.5,0.13627,0.99067,0,0.075,0.54237,0
0.5,0.2199,0.97552,0,0.08,0.5415,0.01
0.5,0.19609,0.98059,0,0.08,0.5415,0
0.5,0.30775,0.95147,0,0.085,0.54024,0.01
0.5,0.30775,0.95147,0,0.085,0.54024,0
