"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98838,0.15203,0,0.0004092,0.78,0
0.5,-0.99486,0.10127,0,0,0.77598,0.01
0.5,-0.98838,0.15203,0,0.0004092,0.78,0.01
0.5,-0.99486,0.10127,0,0,0.77598,0
0.5,0.99473,0.1025,0,0.1,0.77555,0
0.5,0.99079,0.1354,0,0.099542,0.78,0.01
0.5,0.99473,0.1025,0,0.1,0.77555,0.01
0.5,0.98576,0.16818,0,0.099542,0.78,0
0.5,-0.95888,0.28381,0,0.002476,0.79,0.01
0.5,-0.93148,0.36378,0,0.002476,0.79,0
0.5,0.9467,0.32213,0,0.097493,0.79,0
0.5,0.9467,0.32213,0,0.097493,0.79,0.01
0.5,-0.87845,0.47784,0,0.005,0.79514,0.01
0.5,-0.87845,0.47784,0,0.005,0.79514,0
0.5,-0.79265,0.60968,0,0.0079125,0.8,0
0.5,-0.79265,0.60968,0,0.0079125,0.8,0.01
0.5,0.87956,0.47579,0,0.095,0.79511,0
0.5,0.79373,0.60827,0,0.092083,0.8,0.01
0.5,0.87956,0.47579,0,0.095,0.79511,0.01
0.5,0.79373,0.60827,0,0.092083,0.8,0
0.5,-0.51446,0.85752,0,0.01,0.80215,0.01
0.5,-0.51446,0.85752,0,0.01,0.80215,0
0.5,-0.21943,0.97563,0,0.015,0.80359,0.01
0.5,-0.24857,0.96861,0,0.015,0.80359,0
0.5,-0.15925,0.98724,0,0.02,0.80456,0.01
0.5,-0.1747,0.98462,0,0.02,0.80456,0
0.5,-0.1147,0.9934,0,0.025,0.80529,0.01
0.5,-0.12924,0.99161,0,0.025,0.80529,0
0.5,-0.079969,0.9968,0,0.03,0.80579,0.01
0.5,-0.090055,0.99594,0,0.03,0.80579,0
0.5,-0.053338,0.99858,0,0.035,0.80614,0.01
0.5,-0.061609,0.9981,0,0.035,0.80614,0
0.5,-0.030706,0.99953,0,0.04,0.80637,0.01
0.5,-0.037886,0.99928,0,0.04,0.80637,0
0.5,-0.01234,0.99992,0,0.045,0.80648,0.01
0.5,-0.017933,0.99984,0,0.045,0.80648,0
0.5,0.0022809,1,0,0.05,0.80652,0.01
0.5,-0.0022332,1,0,0.05,0.80652,0
0.5,0.017957,0.99984,0,0.055,0.80648,0.01
0.5,0.012376,0.99992,0,0.055,0.80648,0
0.5,0.037874,0.99928,0,0.06,0.80636,0.01
0.5,0.030706,0.99953,0,0.06,0.80636,0
0.5,0.061554,0.9981,0,0.065,0.80614,0.01
0.5,0.053298,0.99858,0,0.065,0.80614,0
0.5,0.090016,0.99594,0,0.07,0.80579,0.01
0.5,0.079914,0.9968,0,0.07,0.80579,0
0.5,0.12918,0.99162,0,0.075,0.80529,0.01
0.5,0.11466,0.99341,0,0.075,0.80529,0
0.5,0.1744,0.98468,0,0.08,0.80456,0.01
0.5,0.15906,0.98727,0,0.08,0.80456,0
0.5,0.24868,0.96858,0,0.085,0.80359,0.01
0.5,0.21928,0.97566,0,0.085,0.80359,0
0.5,0.51519,0.85707,0,0.09,0.80215,0.01
0.5,0.51519,0.85707,0,0.09,0.80215,0
