"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98379,0.17931,0,0.00078648,0.71,0
0.5,-0.99271,0.12049,0,0,0.70352,0.01
0.5,-0.98379,0.17931,0,0.00078648,0.71,0.01
0.5,-0.99271,0.12049,0,0,0.70352,0
0.5,0.99265,0.12101,0,0.1,0.70321,0
0.5,0.98719,0.15954,0,0.099173,0.71,0.01
0.5,0.99265,0.12101,0,0.1,0.70321,0.01
0.5,0.98023,0.19788,0,0.099173,0.71,0
0.5,-0.9464,0.323,0,0.0032315,0.72,0.01
0.5,-0.91361,0.4066,0,0.0032315,0.72,0
0.5,0.93164,0.36339,0,0.096745,0.72,0
0.5,0.93164,0.36339,0,0.096745,0.72,0.01
0.5,-0.83575,0.54911,0,0.005,0.72318,0.01
0.5,-0.83575,0.54911,0,0.005,0.72318,0
0.5,-0.51269,0.85857,0,0.01,0.72969,0.01
0.5,-0.6673,0.74479,0,0.01,0.72969,0
0.5,-0.33498,0.94222,0,0.010841,0.73,0
0.5,-0.33498,0.94222,0,0.010841,0.73,0.01
0.5,0.51353,0.85807,0,0.09,0.72969,0
0.5,0.3354,0.94208,0,0.089163,0.73,0.01
0.5,0.66842,0.74379,0,0.09,0.72969,0.01
0.5,0.3354,0.94208,0,0.089163,0.73,0
0.5,0.83688,0.54739,0,0.095,0.72315,0.01
0.5,0.83688,0.54739,0,0.095,0.72315,0
0.5,-0.26422,0.96446,0,0.015,0.73143,0.01
0.5,-0.26422,0.96446,0,0.015,0.73143,0
0.5,-0.16117,0.98693,0,0.02,0.73246,0.01
0.5,-0.18216,0.98327,0,0.02,0.73246,0
0.5,-0.10991,0.99394,0,0.025,0.73317,0.01
0.5,-0.12503,0.99215,0,0.025,0.73317,0
0.5,-0.076051,0.9971,0,0.03,0.73365,0.01
0.5,-0.085416,0.99635,0,0.03,0.73365,0
0.5,-0.051757,0.99866,0,0.035,0.73398,0.01
0.5,-0.05922,0.99824,0,0.035,0.73398,0
0.5,-0.030774,0.99953,0,0.04,0.7342,0.01
0.5,-0.037533,0.9993,0,0.04,0.7342,0
0.5,-0.012726,0.99992,0,0.045,0.73432,0.01
0.5,-0.01837,0.99983,0,0.045,0.73432,0
0.5,0.0023762,1,0,0.05,0.73436,0.01
0.5,-0.0023524,1,0,0.05,0.73436,0
0.5,0.018386,0.99983,0,0.055,0.73432,0.01
0.5,0.012745,0.99992,0,0.055,0.73432,0
0.5,0.037537,0.9993,0,0.06,0.7342,0.01
0.5,0.030782,0.99953,0,0.06,0.7342,0
0.5,0.059181,0.99825,0,0.065,0.73398,0.01
0.5,0.051737,0.99866,0,0.065,0.73398,0
0.5,0.085372,0.99635,0,0.07,0.73365,0.01
0.5,0.075999,0.99711,0,0.07,0.73365,0
0.5,0.12497,0.99216,0,0.075,0.73317,0.01
0.5,0.10987,0.99395,0,0.075,0.73317,0
0.5,0.18184,0.98333,0,0.08,0.73246,0.01
0.5,0.16098,0.98696,0,0.08,0.73246,0
0.5,0.26419,0.96447,0,0.085,0.73143,0.01
0.5,0.26419,0.96447,0,0.085,0.73143,0
