"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.97891,0.20429,0,0.0010768,0.66,0
0.5,-0.99078,0.1355,0,0,0.65213,0.01
0.5,-0.97891,0.20429,0,0.0010768,0.66,0.01
0.5,-0.99078,0.1355,0,0,0.65213,0
0.5,0.99075,0.13567,0,0.1,0.65187,0
0.5,0.98348,0.18102,0,0.098887,0.66,0.01
0.5,0.99075,0.13567,0,0.1,0.65187,0.01
0.5,0.97411,0.22607,0,0.098887,0.66,0
0.5,-0.93456,0.35581,0,0.0039043,0.67,0.01
0.5,-0.89927,0.43739,0,0.0039043,0.67,0
0.5,0.91852,0.39537,0,0.096077,0.67,0
0.5,0.91852,0.39537,0,0.096077,0.67,0.01
0.5,-0.81869,0.57423,0,0.005,0.67182,0.01
0.5,-0.81869,0.57423,0,0.005,0.67182,0
0.5,-0.48753,0.87311,0,0.01,0.67798,0.01
0.5,-0.64594,0.76339,0,0.01,0.67798,0
0.5,-0.26296,0.96481,0,0.015,0.67965,0.01
0.5,-0.29038,0.95691,0,0.015,0.67965,0
0.5,-0.23238,0.97262,0,0.016441,0.68,0
0.5,-0.23238,0.97262,0,0.016441,0.68,0.01
0.5,0.26282,0.96484,0,0.085,0.67965,0
0.5,0.23198,0.97272,0,0.083569,0.68,0.01
0.5,0.2905,0.95688,0,0.085,0.67965,0.01
0.5,0.23198,0.97272,0,0.083569,0.68,0
0.5,0.64706,0.76244,0,0.09,0.67798,0.01
0.5,0.48832,0.87267,0,0.09,0.67798,0
0.5,0.81981,0.57264,0,0.095,0.6718,0.01
0.5,0.81981,0.57264,0,0.095,0.6718,0
0.5,-0.19226,0.98134,0,0.02,0.68084,0.01
0.5,-0.19226,0.98134,0,0.02,0.68084,0
0.5,-0.11962,0.99282,0,0.025,0.68162,0.01
0.5,-0.13725,0.99054,0,0.025,0.68162,0
0.5,-0.080715,0.99674,0,0.03,0.68213,0.01
0.5,-0.091344,0.99582,0,0.03,0.68213,0
0.5,-0.053215,0.99858,0,0.035,0.68249,0.01
0.5,-0.061649,0.9981,0,0.035,0.68249,0
0.5,-0.030341,0.99954,0,0.04,0.68271,0.01
0.5,-0.037561,0.99929,0,0.04,0.68271,0
0.5,-0.012126,0.99993,0,0.045,0.68283,0.01
0.5,-0.017623,0.99984,0,0.045,0.68283,0
0.5,0.0022173,1,0,0.05,0.68286,0.01
0.5,-0.0022054,1,0,0.05,0.68286,0
0.5,0.017651,0.99984,0,0.055,0.68283,0.01
0.5,0.012146,0.99993,0,0.055,0.68283,0
0.5,0.037565,0.99929,0,0.06,0.68271,0.01
0.5,0.030361,0.99954,0,0.06,0.68271,0
0.5,0.061597,0.9981,0,0.065,0.68249,0.01
0.5,0.053183,0.99858,0,0.065,0.68249,0
0.5,0.091289,0.99582,0,0.07,0.68214,0.01
0.5,0.080652,0.99674,0,0.07,0.68214,0
0.5,0.13718,0.99055,0,0.075,0.68162,0.01
0.5,0.11957,0.99283,0,0.075,0.68162,0
0.5,0.19202,0.98139,0,0.08,0.68084,0.01
0.5,0.19202,0.98139,0,0.08,0.68084,0
