"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98773,0.15616,0,0.00054811,0.6,0
0.5,-0.99458,0.10393,0,0,0.59475,0.01
0.5,-0.98773,0.15616,0,0.00054811,0.6,0.01
0.5,-0.99458,0.10393,0,0,0.59475,0
0.5,0.99448,0.10491,0,0.1,0.59448,0
0.5,0.99029,0.13905,0,0.099418,0.6,0.01
0.5,0.99448,0.10491,0,0.1,0.59448,0.01
0.5,0.98491,0.17306,0,0.099418,0.6,0
0.5,-0.95653,0.29165,0,0.0026741,0.61,0.01
0.5,-0.92752,0.37377,0,0.0026741,0.61,0
0.5,0.94341,0.33164,0,0.097304,0.61,0
0.5,0.94341,0.33164,0,0.097304,0.61,0.01
0.5,-0.86767,0.49714,0,0.005,0.61458,0.01
0.5,-0.86767,0.49714,0,0.005,0.61458,0
0.5,-0.78072,0.62488,0,0.0084795,0.62,0
0.5,-0.78072,0.62488,0,0.0084795,0.62,0.01
0.5,0.86852,0.49565,0,0.095,0.61456,0
0.5,0.78153,0.62387,0,0.091518,0.62,0.01
0.5,0.86852,0.49565,0,0.095,0.61456,0.01
0.5,0.78153,0.62387,0,0.091518,0.62,0
0.5,-0.51602,0.85658,0,0.01,0.62154,0.01
0.5,-0.51602,0.85658,0,0.01,0.62154,0
0.5,-0.22211,0.97502,0,0.015,0.62305,0.01
0.5,-0.2554,0.96683,0,0.015,0.62305,0
0.5,-0.15623,0.98772,0,0.02,0.62401,0.01
0.5,-0.17244,0.98502,0,0.02,0.62401,0
0.5,-0.1142,0.99346,0,0.025,0.62471,0.01
0.5,-0.1271,0.99189,0,0.025,0.62471,0
0.5,-0.080992,0.99671,0,0.03,0.62522,0.01
0.5,-0.091142,0.99584,0,0.03,0.62522,0
0.5,-0.053943,0.99854,0,0.035,0.62558,0.01
0.5,-0.062391,0.99805,0,0.035,0.62558,0
0.5,-0.030777,0.99953,0,0.04,0.62581,0.01
0.5,-0.038135,0.99927,0,0.04,0.62581,0
0.5,-0.012281,0.99992,0,0.045,0.62592,0.01
0.5,-0.01785,0.99984,0,0.045,0.62592,0
0.5,0.0022689,1,0,0.05,0.62596,0.01
0.5,-0.0022213,1,0,0.05,0.62596,0
0.5,0.01789,0.99984,0,0.055,0.62592,0.01
0.5,0.012324,0.99992,0,0.055,0.62592,0
0.5,0.038163,0.99927,0,0.06,0.6258,0.01
0.5,0.030809,0.99953,0,0.06,0.6258,0
0.5,0.062383,0.99805,0,0.065,0.62558,0.01
0.5,0.053951,0.99854,0,0.065,0.62558,0
0.5,0.091126,0.99584,0,0.07,0.62522,0.01
0.5,0.080972,0.99672,0,0.07,0.62522,0
0.5,0.12706,0.9919,0,0.075,0.62471,0.01
0.5,0.11417,0.99346,0,0.075,0.62471,0
0.5,0.1722,0.98506,0,0.08,0.62401,0.01
0.5,0.15608,0.98774,0,0.08,0.62401,0
0.5,0.25546,0.96682,0,0.085,0.62305,0.01
0.5,0.22198,0.97505,0,0.085,0.62305,0
0.5,0.51654,0.85626,0,0.09,0.62154,0.01
0.5,0.51654,0.85626,0,0.09,0.62154,0
