"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.98829,0.1526,0,0.00048557,0.61,0
0.5,-0.9949,0.10089,0,0,0.60521,0.01
0.5,-0.98829,0.1526,0,0.00048557,0.61,0.01
0.5,-0.9949,0.10089,0,0,0.60521,0
0.5,0.99478,0.102,0,0.1,0.60491,0
0.5,0.99074,0.13574,0,0.099478,0.61,0.01
0.5,0.99478,0.102,0,0.1,0.60491,0.01
0.5,0.98555,0.16937,0,0.099478,0.61,0
0.5,-0.95804,0.28663,0,0.0025682,0.62,0.01
0.5,-0.92988,0.36786,0,0.0025682,0.62,0
0.5,0.94533,0.32611,0,0.097408,0.62,0
0.5,0.94533,0.32611,0,0.097408,0.62,0.01
0.5,-0.87373,0.48641,0,0.005,0.62488,0.01
0.5,-0.87373,0.48641,0,0.005,0.62488,0
0.5,-0.78737,0.61648,0,0.0081647,0.63,0
0.5,-0.78737,0.61648,0,0.0081647,0.63,0.01
0.5,0.87461,0.48483,0,0.095,0.62486,0
0.5,0.78823,0.61538,0,0.091832,0.63,0.01
0.5,0.87461,0.48483,0,0.095,0.62486,0.01
0.5,0.78823,0.61538,0,0.091832,0.63,0
0.5,-0.51496,0.85721,0,0.01,0.63188,0.01
0.5,-0.51496,0.85721,0,0.01,0.63188,0
0.5,-0.22015,0.97547,0,0.015,0.63334,0.01
0.5,-0.25118,0.96794,0,0.015,0.63334,0
0.5,-0.15763,0.9875,0,0.02,0.63431,0.01
0.5,-0.1733,0.98487,0,0.02,0.63431,0
0.5,-0.11455,0.99342,0,0.025,0.63502,0.01
0.5,-0.12825,0.99174,0,0.025,0.63502,0
0.5,-0.080559,0.99675,0,0.03,0.63553,0.01
0.5,-0.090702,0.99588,0,0.03,0.63553,0
0.5,-0.053436,0.99857,0,0.035,0.63588,0.01
0.5,-0.061925,0.99808,0,0.035,0.63588,0
0.5,-0.03054,0.99953,0,0.04,0.63611,0.01
0.5,-0.037743,0.99929,0,0.04,0.63611,0
0.5,-0.012308,0.99992,0,0.045,0.63622,0.01
0.5,-0.017822,0.99984,0,0.045,0.63622,0
0.5,0.0022888,1,0,0.05,0.63626,0.01
0.5,-0.0022531,1,0,0.05,0.63626,0
0.5,0.017866,0.99984,0,0.055,0.63622,0.01
0.5,0.012348,0.99992,0,0.055,0.63622,0
0.5,0.037759,0.99929,0,0.06,0.63611,0.01
0.5,0.030571,0.99953,0,0.06,0.63611,0
0.5,0.061885,0.99808,0,0.065,0.63588,0.01
0.5,0.053416,0.99857,0,0.065,0.63588,0
0.5,0.090667,0.99588,0,0.07,0.63553,0.01
0.5,0.080512,0.99675,0,0.07,0.63553,0
0.5,0.12821,0.99175,0,0.075,0.63502,0.01
0.5,0.11452,0.99342,0,0.075,0.63502,0
0.5,0.17307,0.98491,0,0.08,0.63431,0.01
0.5,0.15749,0.98752,0,0.08,0.63431,0
0.5,0.25127,0.96792,0,0.085,0.63335,0.01
0.5,0.22003,0.97549,0,0.085,0.63335,0
0.5,0.51555,0.85686,0,0.09,0.63188,0.01
0.5,0.51555,0.85686,0,0.09,0.63188,0
