"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.96983,0.24378,0,0.0014429,0.76,0
0.5,-0.98799,0.1545,0,0,0.75077,0.01
0.5,-0.96983,0.24378,0,0.0014429,0.76,0.01
0.5,-0.98799,0.1545,0,0,0.75077,0
0.5,0.98802,0.15433,0,0.1,0.75052,0
0.5,0.97696,0.21343,0,0.098519,0.76,0.01
0.5,0.98802,0.15433,0,0.1,0.75052,0.01
0.5,0.96231,0.27196,0,0.098519,0.76,0
0.5,-0.91385,0.40605,0,0.0049509,0.77,0.01
0.5,-0.87787,0.4789,0,0.0049509,0.77,0
0.5,0.89745,0.44112,0,0.095031,0.77,0
0.5,0.89745,0.44112,0,0.095031,0.77,0.01
0.5,-0.80449,0.59396,0,0.005,0.77007,0.01
0.5,-0.80449,0.59396,0,0.005,0.77007,0
0.5,-0.46255,0.88659,0,0.01,0.77611,0.01
0.5,-0.63182,0.77511,0,0.01,0.77611,0
0.5,-0.23414,0.9722,0,0.015,0.77758,0.01
0.5,-0.25812,0.96611,0,0.015,0.77758,0
0.5,-0.17741,0.98414,0,0.02,0.77865,0.01
0.5,-0.19375,0.98105,0,0.02,0.77865,0
0.5,-0.13168,0.99129,0,0.025,0.77947,0.01
0.5,-0.14637,0.98923,0,0.025,0.77947,0
0.5,-0.1182,0.99299,0,0.029503,0.78,0
0.5,-0.1182,0.99299,0,0.029503,0.78,0.01
0.5,0.13161,0.9913,0,0.075,0.77947,0
0.5,0.11818,0.99299,0,0.070499,0.78,0.01
0.5,0.14628,0.98924,0,0.075,0.77947,0.01
0.5,0.11818,0.99299,0,0.070499,0.78,0
0.5,0.19338,0.98112,0,0.08,0.77865,0.01
0.5,0.17716,0.98418,0,0.08,0.77865,0
0.5,0.25821,0.96609,0,0.085,0.77758,0.01
0.5,0.23394,0.97225,0,0.085,0.77758,0
0.5,0.63314,0.77404,0,0.09,0.77611,0.01
0.5,0.46345,0.88613,0,0.09,0.77611,0
0.5,0.80577,0.59223,0,0.095,0.77005,0.01
0.5,0.80577,0.59223,0,0.095,0.77005,0
0.5,-0.10082,0.9949,0,0.03,0.78006,0.01
0.5,-0.10082,0.9949,0,0.03,0.78006,0
0.5,-0.061769,0.99809,0,0.035,0.78047,0.01
0.5,-0.071972,0.99741,0,0.035,0.78047,0
0.5,-0.034858,0.99939,0,0.04,0.78073,0.01
0.5,-0.043211,0.99907,0,0.04,0.78073,0
0.5,-0.013897,0.9999,0,0.045,0.78086,0.01
0.5,-0.0202,0.9998,0,0.045,0.78086,0
0.5,0.0025471,1,0,0.05,0.7809,0.01
0.5,-0.0025233,1,0,0.05,0.7809,0
0.5,0.020232,0.9998,0,0.055,0.78086,0.01
0.5,0.013925,0.9999,0,0.055,0.78086,0
0.5,0.043223,0.99907,0,0.06,0.78073,0.01
0.5,0.034882,0.99939,0,0.06,0.78073,0
0.5,0.071909,0.99741,0,0.065,0.78047,0.01
0.5,0.061738,0.99809,0,0.065,0.78047,0
0.5,0.10077,0.99491,0,0.07,0.78006,0.01
0.5,0.10077,0.99491,0,0.07,0.78006,0
