"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.97384,0.22723,0,0.0013196,0.62,0
0.5,-0.98936,0.14551,0,0,0.61103,0.01
0.5,-0.97384,0.22723,0,0.0013196,0.62,0.01
0.5,-0.98936,0.14551,0,0,0.61103,0
0.5,0.98933,0.14572,0,0.1,0.61082,0
0.5,0.97984,0.19976,0,0.098648,0.62,0.01
0.5,0.98933,0.14572,0,0.1,0.61082,0.01
0.5,0.96737,0.25337,0,0.098648,0.62,0
0.5,-0.92224,0.38661,0,0.0045496,0.63,0.01
0.5,-0.88602,0.46364,0,0.0045496,0.63,0
0.5,0.90564,0.42405,0,0.095434,0.63,0
0.5,0.90564,0.42405,0,0.095434,0.63,0.01
0.5,-0.80865,0.58829,0,0.005,0.63071,0.01
0.5,-0.80865,0.58829,0,0.005,0.63071,0
0.5,-0.46855,0.88344,0,0.01,0.63675,0.01
0.5,-0.63453,0.7729,0,0.01,0.63675,0
0.5,-0.24273,0.97009,0,0.015,0.63827,0.01
0.5,-0.26706,0.96368,0,0.015,0.63827,0
0.5,-0.18551,0.98264,0,0.02,0.63939,0.01
0.5,-0.20192,0.9794,0,0.02,0.63939,0
0.5,-0.17023,0.9854,0,0.02355,0.64,0
0.5,-0.17023,0.9854,0,0.02355,0.64,0.01
0.5,0.18533,0.98268,0,0.08,0.63939,0
0.5,0.17016,0.98542,0,0.076451,0.64,0.01
0.5,0.20164,0.97946,0,0.08,0.63939,0.01
0.5,0.17016,0.98542,0,0.076451,0.64,0
0.5,0.26717,0.96365,0,0.085,0.63828,0.01
0.5,0.2426,0.97013,0,0.085,0.63828,0
0.5,0.63565,0.77197,0,0.09,0.63675,0.01
0.5,0.46933,0.88302,0,0.09,0.63675,0
0.5,0.80977,0.58675,0,0.095,0.63068,0.01
0.5,0.80977,0.58675,0,0.095,0.63068,0
0.5,-0.14274,0.98976,0,0.025,0.64025,0.01
0.5,-0.14274,0.98976,0,0.025,0.64025,0
0.5,-0.089289,0.99601,0,0.03,0.64083,0.01
0.5,-0.10163,0.99482,0,0.03,0.64083,0
0.5,-0.05791,0.99832,0,0.035,0.64121,0.01
0.5,-0.067426,0.99772,0,0.035,0.64121,0
0.5,-0.03276,0.99946,0,0.04,0.64145,0.01
0.5,-0.040577,0.99918,0,0.04,0.64145,0
0.5,-0.013139,0.99991,0,0.045,0.64158,0.01
0.5,-0.019041,0.99982,0,0.045,0.64158,0
0.5,0.0024279,1,0,0.05,0.64161,0.01
0.5,-0.002404,1,0,0.05,0.64161,0
0.5,0.019081,0.99982,0,0.055,0.64158,0.01
0.5,0.01317,0.99991,0,0.055,0.64158,0
0.5,0.040593,0.99918,0,0.06,0.64145,0.01
0.5,0.032792,0.99946,0,0.06,0.64145,0
0.5,0.067379,0.99773,0,0.065,0.64121,0.01
0.5,0.057887,0.99832,0,0.065,0.64121,0
0.5,0.1016,0.99483,0,0.07,0.64083,0.01
0.5,0.089238,0.99601,0,0.07,0.64083,0
0.5,0.1427,0.98977,0,0.075,0.64025,0.01
0.5,0.1427,0.98977,0,0.075,0.64025,0
