"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.99,0.14106,0,0.00027546,0.65,0
0.5,-0.99567,0.09291,0,0,0.64705,0.01
0.5,-0.99,0.14106,0,0.00027546,0.65,0.01
0.5,-0.99567,0.09291,0,0,0.64705,0
0.5,0.99558,0.093937,0,0.1,0.64664,0
0.5,0.99212,0.12527,0,0.099683,0.65,0.01
0.5,0.99558,0.093937,0,0.1,0.64664,0.01
0.5,0.98768,0.1565,0,0.099683,0.65,0
0.5,-0.96387,0.26637,0,0.0021988,0.66,0.01
0.5,-0.93946,0.34267,0,0.0021988,0.66,0
0.5,0.95294,0.30316,0,0.097774,0.66,0
0.5,0.95294,0.30316,0,0.097774,0.66,0.01
0.5,-0.89722,0.44158,0,0.005,0.66612,0.01
0.5,-0.89722,0.44158,0,0.005,0.66612,0
0.5,-0.81371,0.58127,0,0.0070474,0.67,0
0.5,-0.81371,0.58127,0,0.0070474,0.67,0.01
0.5,0.89805,0.43989,0,0.095,0.66609,0
0.5,0.81455,0.58009,0,0.092947,0.67,0.01
0.5,0.89805,0.43989,0,0.095,0.66609,0.01
0.5,0.81455,0.58009,0,0.092947,0.67,0
0.5,-0.51746,0.85571,0,0.01,0.67314,0.01
0.5,-0.51746,0.85571,0,0.01,0.67314,0
0.5,-0.21931,0.97566,0,0.015,0.67453,0.01
0.5,-0.24416,0.96974,0,0.015,0.67453,0
0.5,-0.16166,0.98685,0,0.02,0.67552,0.01
0.5,-0.17802,0.98403,0,0.02,0.67552,0
0.5,-0.11498,0.99337,0,0.025,0.67626,0.01
0.5,-0.13013,0.9915,0,0.025,0.67626,0
0.5,-0.080064,0.99679,0,0.03,0.67676,0.01
0.5,-0.089938,0.99595,0,0.03,0.67676,0
0.5,-0.053813,0.99855,0,0.035,0.67711,0.01
0.5,-0.062001,0.99808,0,0.035,0.67711,0
0.5,-0.031083,0.99952,0,0.04,0.67734,0.01
0.5,-0.038353,0.99926,0,0.04,0.67734,0
0.5,-0.012491,0.99992,0,0.045,0.67746,0.01
0.5,-0.018152,0.99984,0,0.045,0.67746,0
0.5,0.0022848,1,0,0.05,0.67749,0.01
0.5,-0.0022729,1,0,0.05,0.67749,0
0.5,0.018179,0.99983,0,0.055,0.67746,0.01
0.5,0.012511,0.99992,0,0.055,0.67746,0
0.5,0.038365,0.99926,0,0.06,0.67734,0.01
0.5,0.031107,0.99952,0,0.06,0.67734,0
0.5,0.061953,0.99808,0,0.065,0.67711,0.01
0.5,0.053789,0.99855,0,0.065,0.67711,0
0.5,0.089883,0.99595,0,0.07,0.67676,0.01
0.5,0.080001,0.99679,0,0.07,0.67676,0
0.5,0.13005,0.99151,0,0.075,0.67626,0.01
0.5,0.11492,0.99338,0,0.075,0.67626,0
0.5,0.17776,0.98407,0,0.08,0.67552,0.01
0.5,0.16148,0.98688,0,0.08,0.67552,0
0.5,0.24423,0.96972,0,0.085,0.67453,0.01
0.5,0.21917,0.97569,0,0.085,0.67453,0
0.5,0.51806,0.85534,0,0.09,0.67314,0.01
0.5,0.51806,0.85534,0,0.09,0.67314,0
