"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,0.99682,0.079687,0,0.1,0.71971,0
0.5,0.99417,0.10786,0,0.099977,0.72,0.01
0.5,0.99682,0.079687,0,0.1,0.71971,0.01
0.5,0.99071,0.13597,0,0.099977,0.72,0
0.5,-0.96493,0.2625,0,0.0016507,0.73,0
0.5,-0.98636,0.1646,0,0,0.72011,0.01
0.5,-0.96493,0.2625,0,0.0016507,0.73,0.01
0.5,-0.98636,0.1646,0,0,0.72011,0
0.5,0.96528,0.26121,0,0.098315,0.73,0
0.5,0.96528,0.26121,0,0.098315,0.73,0.01
0.5,-0.93212,0.36214,0,0.005,0.73874,0.01
0.5,-0.93212,0.36214,0,0.005,0.73874,0
0.5,-0.85609,0.51682,0,0.0054955,0.74,0
0.5,-0.85609,0.51682,0,0.0054955,0.74,0.01
0.5,0.93279,0.36042,0,0.095,0.7387,0
0.5,0.85691,0.51547,0,0.094492,0.74,0.01
0.5,0.93279,0.36042,0,0.095,0.7387,0.01
0.5,0.85691,0.51547,0,0.094492,0.74,0
0.5,-0.53799,0.84295,0,0.01,0.74523,0.01
0.5,-0.53799,0.84295,0,0.01,0.74523,0
0.5,-0.22602,0.97412,0,0.015,0.74665,0.01
0.5,-0.24949,0.96838,0,0.015,0.74665,0
0.5,-0.16879,0.98565,0,0.02,0.74768,0.01
0.5,-0.18564,0.98262,0,0.02,0.74768,0
0.5,-0.1228,0.99243,0,0.025,0.74845,0.01
0.5,-0.13736,0.99052,0,0.025,0.74845,0
0.5,-0.088472,0.99608,0,0.03,0.74899,0.01
0.5,-0.098347,0.99515,0,0.03,0.74899,0
0.5,-0.061003,0.99814,0,0.035,0.74939,0.01
0.5,-0.069799,0.99756,0,0.035,0.74939,0
0.5,-0.035905,0.99936,0,0.04,0.74965,0.01
0.5,-0.044055,0.99903,0,0.04,0.74965,0
0.5,-0.01464,0.99989,0,0.045,0.74979,0.01
0.5,-0.021197,0.99978,0,0.045,0.74979,0
0.5,0.0027259,1,0,0.05,0.74983,0.01
0.5,-0.0026782,1,0,0.05,0.74983,0
0.5,0.021229,0.99977,0,0.055,0.74979,0.01
0.5,0.014679,0.99989,0,0.055,0.74979,0
0.5,0.04404,0.99903,0,0.06,0.74965,0.01
0.5,0.035909,0.99936,0,0.06,0.74965,0
0.5,0.069756,0.99756,0,0.065,0.74939,0.01
0.5,0.060963,0.99814,0,0.065,0.74939,0
0.5,0.098284,0.99516,0,0.07,0.74899,0.01
0.5,0.088417,0.99608,0,0.07,0.74899,0
0.5,0.13724,0.99054,0,0.075,0.74845,0.01
0.5,0.1227,0.99244,0,0.075,0.74845,0
0.5,0.18532,0.98268,0,0.08,0.74768,0.01
0.5,0.16856,0.98569,0,0.08,0.74768,0
0.5,0.24962,0.96834,0,0.085,0.74665,0.01
0.5,0.22589,0.97415,0,0.085,0.74665,0
0.5,0.53877,0.84245,0,0.09,0.74523,0.01
0.5,0.53877,0.84245,0,0.09,0.74523,0
