"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.82279,0.56834,0,0.00029925,0.52,0
0.5,-0.8284,0.56014,0,0,0.51956,0.01
0.5,-0.82279,0.56834,0,0.00029925,0.52,0.01
0.5,-0.8284,0.56014,0,0,0.51956,0
0.5,0.82832,0.56025,0,0.1,0.51953,0
0.5,0.8229,0.56819,0,0.099685,0.52,0.01
0.5,0.82832,0.56025,0,0.1,0.51953,0.01
0.5,0.8229,0.56819,0,0.099685,0.52,0
0.5,-0.83385,0.552,0,0.005,0.52666,0.01
0.5,-0.83385,0.552,0,0.005,0.52666,0
0.5,-0.80017,0.59977,0,0.0070695,0.53,0
0.5,-0.80017,0.59977,0,0.0070695,0.53,0.01
0.5,0.83408,0.55165,0,0.095,0.52665,0
0.5,0.80042,0.59943,0,0.092923,0.53,0.01
0.5,0.83408,0.55165,0,0.095,0.52665,0.01
0.5,0.80042,0.59943,0,0.092923,0.53,0
0.5,-0.54855,0.83612,0,0.01,0.53327,0.01
0.5,-0.54855,0.83612,0,0.01,0.53327,0
0.5,-0.25806,0.96613,0,0.015,0.53493,0.01
0.5,-0.28731,0.95784,0,0.015,0.53493,0
0.5,-0.19653,0.9805,0,0.02,0.53611,0.01
0.5,-0.21259,0.97714,0,0.02,0.53611,0
0.5,-0.1483,0.98894,0,0.025,0.53702,0.01
0.5,-0.16438,0.9864,0,0.025,0.53702,0
0.5,-0.10741,0.99421,0,0.03,0.53769,0.01
0.5,-0.11981,0.9928,0,0.03,0.53769,0
0.5,-0.073442,0.9973,0,0.035,0.53817,0.01
0.5,-0.084224,0.99645,0,0.035,0.53817,0
0.5,-0.042613,0.99909,0,0.04,0.53848,0.01
0.5,-0.052636,0.99861,0,0.04,0.53848,0
0.5,-0.016927,0.99986,0,0.045,0.53864,0.01
0.5,-0.024758,0.99969,0,0.045,0.53864,0
0.5,0.0031272,1,0,0.05,0.53869,0.01
0.5,-0.0029842,1,0,0.05,0.53869,0
0.5,0.024916,0.99969,0,0.055,0.53864,0.01
0.5,0.017078,0.99985,0,0.055,0.53864,0
0.5,0.052786,0.99861,0,0.06,0.53848,0.01
0.5,0.042771,0.99908,0,0.06,0.53848,0
0.5,0.08435,0.99644,0,0.065,0.53817,0.01
0.5,0.073576,0.99729,0,0.065,0.53817,0
0.5,0.11994,0.99278,0,0.07,0.53769,0.01
0.5,0.10753,0.9942,0,0.07,0.53769,0
0.5,0.16445,0.98638,0,0.075,0.53702,0.01
0.5,0.14841,0.98893,0,0.075,0.53702,0
0.5,0.21252,0.97716,0,0.08,0.5361,0.01
0.5,0.19651,0.9805,0,0.08,0.5361,0
0.5,0.28755,0.95777,0,0.085,0.53493,0.01
0.5,0.25812,0.96611,0,0.085,0.53493,0
0.5,0.54895,0.83586,0,0.09,0.53326,0.01
0.5,0.54895,0.83586,0,0.09,0.53326,0
