"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.99189,0.12712,0,6.0787e-05,0.7,0
0.5,-0.99657,0.082724,0,0,0.69927,0.01
0.5,-0.99189,0.12712,0,6.0787e-05,0.7,0.01
0.5,-0.99657,0.082724,0,0,0.69927,0
0.5,0.99647,0.083911,0,0.1,0.69876,0
0.5,0.99363,0.11274,0,0.099896,0.7,0.01
0.5,0.99647,0.083911,0,0.1,0.69876,0.01
0.5,0.98994,0.14149,0,0.099896,0.7,0
0.5,-0.9707,0.2403,0,0.0017991,0.71,0.01
0.5,-0.95123,0.30848,0,0.0017991,0.71,0
0.5,0.962,0.27304,0,0.09817,0.71,0
0.5,0.962,0.27304,0,0.09817,0.71,0.01
0.5,-0.92318,0.38436,0,0.005,0.71792,0.01
0.5,-0.92318,0.38436,0,0.005,0.71792,0
0.5,-0.84469,0.53525,0,0.0058921,0.72,0
0.5,-0.84469,0.53525,0,0.0058921,0.72,0.01
0.5,0.92389,0.38267,0,0.095,0.71789,0
0.5,0.8455,0.53398,0,0.094098,0.72,0.01
0.5,0.92389,0.38267,0,0.095,0.71789,0.01
0.5,0.8455,0.53398,0,0.094098,0.72,0
0.5,-0.53051,0.84768,0,0.01,0.72464,0.01
0.5,-0.53051,0.84768,0,0.01,0.72464,0
0.5,-0.2231,0.9748,0,0.015,0.72604,0.01
0.5,-0.24612,0.96924,0,0.015,0.72604,0
0.5,-0.16547,0.98621,0,0.02,0.72706,0.01
0.5,-0.18275,0.98316,0,0.02,0.72706,0
0.5,-0.11881,0.99292,0,0.025,0.72781,0.01
0.5,-0.1335,0.99105,0,0.025,0.72781,0
0.5,-0.084749,0.9964,0,0.03,0.72833,0.01
0.5,-0.094434,0.99553,0,0.03,0.72833,0
0.5,-0.058019,0.99832,0,0.035,0.7287,0.01
0.5,-0.066541,0.99778,0,0.035,0.7287,0
0.5,-0.033827,0.99943,0,0.04,0.72895,0.01
0.5,-0.041663,0.99913,0,0.04,0.72895,0
0.5,-0.013679,0.99991,0,0.045,0.72908,0.01
0.5,-0.019835,0.9998,0,0.045,0.72908,0
0.5,0.0025312,1,0,0.05,0.72912,0.01
0.5,-0.0024954,1,0,0.05,0.72912,0
0.5,0.019871,0.9998,0,0.055,0.72908,0.01
0.5,0.013714,0.99991,0,0.055,0.72908,0
0.5,0.041682,0.99913,0,0.06,0.72895,0.01
0.5,0.033855,0.99943,0,0.06,0.72895,0
0.5,0.066497,0.99779,0,0.065,0.7287,0.01
0.5,0.058004,0.99832,0,0.065,0.7287,0
0.5,0.094379,0.99554,0,0.07,0.72833,0.01
0.5,0.084686,0.99641,0,0.07,0.72833,0
0.5,0.1334,0.99106,0,0.075,0.72781,0.01
0.5,0.11874,0.99293,0,0.075,0.72781,0
0.5,0.18241,0.98322,0,0.08,0.72706,0.01
0.5,0.16524,0.98625,0,0.08,0.72706,0
0.5,0.24618,0.96922,0,0.085,0.72604,0.01
0.5,0.22291,0.97484,0,0.085,0.72604,0
0.5,0.53121,0.84724,0,0.09,0.72464,0.01
0.5,0.53121,0.84724,0,0.09,0.72464,0
