"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.96821,0.25013,0,0.0015089,0.75,0
0.5,-0.98749,0.15768,0,0,0.74055,0.01
0.5,-0.96821,0.25013,0,0.0015089,0.75,0.01
0.5,-0.98749,0.15768,0,0,0.74055,0
0.5,0.98751,0.15753,0,0.1,0.7403,0
0.5,0.96848,0.24907,0,0.098453,0.75,0.01
0.5,0.98751,0.15753,0,0.1,0.7403,0.01
0.5,0.96848,0.24907,0,0.098453,0.75,0
0.5,-0.94033,0.34027,0,0.005,0.75964,0.01
0.5,-0.94033,0.34027,0,0.005,0.75964,0
0.5,-0.86675,0.49875,0,0.0051285,0.76,0
0.5,-0.86675,0.49875,0,0.0051285,0.76,0.01
0.5,0.94096,0.33852,0,0.095,0.7596,0
0.5,0.86757,0.49732,0,0.094857,0.76,0.01
0.5,0.94096,0.33852,0,0.095,0.7596,0.01
0.5,0.86757,0.49732,0,0.094857,0.76,0
0.5,-0.54617,0.83767,0,0.01,0.76582,0.01
0.5,-0.54617,0.83767,0,0.01,0.76582,0
0.5,-0.23099,0.97296,0,0.015,0.76727,0.01
0.5,-0.2547,0.96702,0,0.015,0.76727,0
0.5,-0.17401,0.98474,0,0.02,0.76832,0.01
0.5,-0.19061,0.98167,0,0.02,0.76832,0
0.5,-0.12832,0.99173,0,0.025,0.76912,0.01
0.5,-0.14286,0.98974,0,0.025,0.76912,0
0.5,-0.093451,0.99562,0,0.03,0.76969,0.01
0.5,-0.10361,0.99462,0,0.03,0.76969,0
0.5,-0.083646,0.9965,0,0.033672,0.77,0
0.5,-0.083646,0.9965,0,0.033672,0.77,0.01
0.5,0.093395,0.99563,0,0.07,0.76969,0
0.5,0.083589,0.9965,0,0.066326,0.77,0.01
0.5,0.10356,0.99462,0,0.07,0.76969,0.01
0.5,0.083589,0.9965,0,0.066326,0.77,0
0.5,0.14274,0.98976,0,0.075,0.76912,0.01
0.5,0.12824,0.99174,0,0.075,0.76912,0
0.5,0.19025,0.98174,0,0.08,0.76832,0.01
0.5,0.17375,0.98479,0,0.08,0.76832,0
0.5,0.25485,0.96698,0,0.085,0.76727,0.01
0.5,0.23083,0.97299,0,0.085,0.76727,0
0.5,0.54704,0.83711,0,0.09,0.76582,0.01
0.5,0.54704,0.83711,0,0.09,0.76582,0
0.5,-0.068648,0.99764,0,0.035,0.77011,0.01
0.5,-0.068648,0.99764,0,0.035,0.77011,0
0.5,-0.035952,0.99935,0,0.04,0.77038,0.01
0.5,-0.044613,0.999,0,0.04,0.77038,0
0.5,-0.014358,0.9999,0,0.045,0.77052,0.01
0.5,-0.020824,0.99978,0,0.045,0.77052,0
0.5,0.0026544,1,0,0.05,0.77055,0.01
0.5,-0.0026186,1,0,0.05,0.77055,0
0.5,0.020852,0.99978,0,0.055,0.77052,0.01
0.5,0.01439,0.9999,0,0.055,0.77052,0
0.5,0.044613,0.999,0,0.06,0.77038,0.01
0.5,0.035964,0.99935,0,0.06,0.77038,0
0.5,0.068616,0.99764,0,0.065,0.77011,0.01
0.5,0.068616,0.99764,0,0.065,0.77011,0
