"alpha.water","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.5,-0.97522,0.22123,0,0.0012537,0.63,0
0.5,-0.98972,0.14302,0,0,0.62132,0.01
0.5,-0.97522,0.22123,0,0.0012537,0.63,0.01
0.5,-0.98972,0.14302,0,0,0.62132,0
0.5,0.98968,0.14328,0,0.1,0.6211,0
0.5,0.98082,0.19493,0,0.098712,0.63,0.01
0.5,0.98968,0.14328,0,0.1,0.6211,0.01
0.5,0.96922,0.24619,0,0.098712,0.63,0
0.5,-0.92553,0.37869,0,0.0043761,0.64,0.01
0.5,-0.88941,0.45711,0,0.0043761,0.64,0
0.5,0.90903,0.41674,0,0.095606,0.64,0
0.5,0.90903,0.41674,0,0.095606,0.64,0.01
0.5,-0.81079,0.58533,0,0.005,0.64099,0.01
0.5,-0.81079,0.58533,0,0.005,0.64099,0
0.5,-0.47228,0.88145,0,0.01,0.64705,0.01
0.5,-0.63653,0.77125,0,0.01,0.64705,0
0.5,-0.2481,0.96873,0,0.015,0.6486,0.01
0.5,-0.27247,0.96216,0,0.015,0.6486,0
0.5,-0.18918,0.98194,0,0.02,0.64975,0.01
0.5,-0.20642,0.97846,0,0.02,0.64975,0
0.5,-0.17022,0.98541,0,0.021427,0.65,0
0.5,-0.17022,0.98541,0,0.021427,0.65,0.01
0.5,0.18901,0.98198,0,0.08,0.64975,0
0.5,0.17015,0.98542,0,0.078575,0.65,0.01
0.5,0.20614,0.97852,0,0.08,0.64975,0.01
0.5,0.17015,0.98542,0,0.078575,0.65,0
0.5,0.27257,0.96214,0,0.085,0.64861,0.01
0.5,0.24796,0.96877,0,0.085,0.64861,0
0.5,0.63768,0.7703,0,0.09,0.64705,0.01
0.5,0.47307,0.88103,0,0.09,0.64705,0
0.5,0.81195,0.58373,0,0.095,0.64097,0.01
0.5,0.81195,0.58373,0,0.095,0.64097,0
0.5,-0.13948,0.99022,0,0.025,0.65061,0.01
0.5,-0.13948,0.99022,0,0.025,0.65061,0
0.5,-0.086543,0.99625,0,0.03,0.65117,0.01
0.5,-0.098421,0.99514,0,0.03,0.65117,0
0.5,-0.056405,0.99841,0,0.035,0.65154,0.01
0.5,-0.065533,0.99785,0,0.035,0.65154,0
0.5,-0.032031,0.99949,0,0.04,0.65178,0.01
0.5,-0.039653,0.99921,0,0.04,0.65178,0
0.5,-0.012817,0.99992,0,0.045,0.6519,0.01
0.5,-0.018612,0.99983,0,0.045,0.6519,0
0.5,0.0023643,1,0,0.05,0.65193,0.01
0.5,-0.0023285,1,0,0.05,0.65193,0
0.5,0.018656,0.99983,0,0.055,0.6519,0.01
0.5,0.012857,0.99992,0,0.055,0.6519,0
0.5,0.039669,0.99921,0,0.06,0.65178,0.01
0.5,0.032063,0.99949,0,0.06,0.65178,0
0.5,0.065493,0.99785,0,0.065,0.65154,0.01
0.5,0.056385,0.99841,0,0.065,0.65154,0
0.5,0.098378,0.99515,0,0.07,0.65117,0.01
0.5,0.086492,0.99625,0,0.07,0.65117,0
0.5,0.13943,0.99023,0,0.075,0.65061,0.01
0.5,0.13943,0.99023,0,0.075,0.65061,0
