0.0035283,0.54
0,0.53082
0.0035283,0.54
0,0.53082
0.1,0.53078
0.096458,0.54
0.1,0.53078
0.096458,0.54
0.005,0.54251
0.005,0.54251
0.01,0.54888
0.01,0.54888
0.013122,0.55
0.013122,0.55
0.09,0.54888
0.08687,0.55
0.09,0.54888
0.08687,0.55
0.095,0.5425
0.095,0.5425
0.015,0.55067
0.015,0.55067
0.02,0.55183
0.02,0.55183
0.025,0.55264
0.025,0.55264
0.03,0.55318
0.03,0.55318
0.035,0.55355
0.035,0.55355
0.04,0.55378
0.04,0.55378
0.045,0.5539
0.045,0.5539
0.05,0.55393
0.05,0.55393
0.055,0.5539
0.055,0.5539
0.06,0.55378
0.06,0.55378
0.065,0.55355
0.065,0.55355
0.07,0.55318
0.07,0.55318
0.075,0.55264
0.075,0.55264
0.08,0.55183
0.08,0.55183
0.085,0.55067
0.085,0.55067
